,date,username,content
118,2022-05-06 15:22:06+00:00,jaehzunn,"@rentfess Mau, saya buddy tapi jaringan disini lagi jelek takut macet macet pas nonton :("
119,2022-05-06 15:22:05+00:00,Lukman__14,@ainurohman Kacau passingnya jelek banget
120,2022-05-06 15:21:57+00:00,revuose,@euforische @ffukuokaa jelek
121,2022-05-06 15:21:55+00:00,kyungguan,"kenapa aku jadi orang serius banget dah belakangan enih, jelek jelek"
122,2022-05-06 15:21:49+00:00,tinybinta,tapi aku dikacangin si anak kambing mah emang jelek.
123,2022-05-06 15:21:35+00:00,dinorjw,"@fwairylla jgn nangis dong, jelek bgt masa nangis gara” gue"
124,2022-05-06 15:21:34+00:00,y_ookarina,@shimjzake Jaeyun jelek.
125,2022-05-06 15:21:32+00:00,KHtey_,jelek bngt bmnya pas jam segini
126,2022-05-06 15:21:31+00:00,meowlynnd,"@avisienna aku nga jelek, tp aku pendiem. gimana tuh? 😭"
127,2022-05-06 15:21:28+00:00,Irwan97019018,@AnalisisCetek @Tantegilsa Coba di ranting tiap pemain Yg malam ini tampil apa cuma Rio Fahmi doang jelek?
128,2022-05-06 15:21:28+00:00,dododontdothat,"Hari ini vibesnya lagi jelek bgt wkwk, tapi cukup produktif"
129,2022-05-06 15:21:18+00:00,dhtpryg,@rohacincaw WKWKWK mulut lo ya yang ngatain sugar babynya jelek:)
130,2022-05-06 15:21:17+00:00,hwakuncir,@wdzcity @uramoureuse @vancousan JELEK
131,2022-05-06 15:21:09+00:00,marktyrll,"apayaaa, akun gue keliatannya aman2 aja padahal pas masuk akun jefan kaya langsung nnnaannggiisss jelek"
132,2022-05-06 15:21:03+00:00,konyql,GUE NANGIS JELEK BANGETTT😭😭😭😭😭😭😭😭😭😭
133,2022-05-06 15:20:58+00:00,jrsiie,hari ini pegel beresin kamar trs td beli barang buat paket abang trs capek make up an capek jd jelek https://t.co/p1UEPRMSgp
134,2022-05-06 15:20:57+00:00,fairysmooches,@schfess We have an attention seeker right here alias lu jelek banget bego
135,2022-05-06 15:20:52+00:00,SangTiga,"@BobotohAwam @Fandom_ID sepakbola yang kalah, 
sepakbola yang perih

jelek, dikecam, latihan lagi
pujian hanya pada yg pantas"
136,2022-05-06 15:20:49+00:00,dainthereal,"@achaeo Nanti ya, jelek. 😢"
137,2022-05-06 15:20:44+00:00,zouwhy,"@pptpitrn @Telkomsel Ihh iyaa kirain karna gw di rumah jelek sinyal. 

Kemarin sampe ngisi kuota kirain abis kuotanya, setelah diisi ttp sama :"")"
138,2022-05-06 15:20:43+00:00,FerInd21,"@Bola_Jakarta Pas febry haryadi maen jelek, ig doi juga diserang, hadehh kebencian terhadap pemain rival yang bela negara terus maen jelek pasti isinya hujatan"
139,2022-05-06 15:20:40+00:00,sydnaksh,"@rashinsut Gabisa pan, Twit lu jelek"
140,2022-05-06 15:20:30+00:00,alaskasastara,@deadlwy ra astaga typo jelek amat
141,2022-05-06 15:20:23+00:00,eldelouvre,"@marktyrll gapapaa kakay, sedih itu wajar, nangis itu gak jelek. perasaan lo itu valid 💗"
142,2022-05-06 15:20:23+00:00,offgunes,waduh gua abis liat tweet jelek
143,2022-05-06 15:20:14+00:00,seungwae,jelek banget ih
144,2022-05-06 15:20:03+00:00,xablue_,Yuk keluar dari zona nyaman biar ancur ancur sekalian jelek jelek skalian .
145,2022-05-06 15:20:02+00:00,vertoast,@changminjaem @pledis_17 surya jelek psti dia jelek
146,2022-05-06 15:20:01+00:00,walensikee,kalo ngetik muka gua jelek bgt bye
147,2022-05-06 15:19:55+00:00,cautumnale,kenapa nilainya lebih jelek dari posttest biokim gue☠️ https://t.co/W2ABSdmtuU
148,2022-05-06 15:19:51+00:00,kwanmerijaan,scoups jelek https://t.co/N26zlTLUqJ
149,2022-05-06 15:19:47+00:00,tulisanakula,@nishdinoya JANGAN JELEK NANTI NANGIS
150,2022-05-06 15:19:46+00:00,FerInd21,"@Bola_Jakarta Kebiasaan dah tiap ada pemain rival yang jelek langsung dibully instagramnya, kaya ig rio fahmi sekarang isinya hujatan."
151,2022-05-06 15:19:38+00:00,zedvctive,@thyngkth Yaudah om mphi jelek
152,2022-05-06 15:19:30+00:00,hellonafiles,@swtieyszia jelek gombal lu 🫶
153,2022-05-06 15:19:15+00:00,girltarius,@putoonggg Yg jelek cuma thanos 😂
154,2022-05-06 15:19:11+00:00,_ilIumi,jelek cropnya
155,2022-05-06 15:19:05+00:00,soumatheworld,jelek bat anjim https://t.co/YeIrvjXRV9
156,2022-05-06 15:18:59+00:00,louissfans_,@ericsatpol Km mah jelek selalu kak.
157,2022-05-06 15:18:57+00:00,1312reine,lu punya ga si temen yg bercandaannya jelek kek ga offensive tpi jelek ga lucu gitu kek lu mending diem
158,2022-05-06 15:18:51+00:00,O96581,@Dbdyss ga jelek
159,2022-05-06 15:18:49+00:00,yooczji,@jetaekoo Nahhh iyaa kann disini sinyal jelek bgt mana ngehabisin duit buat bli kuota😭
160,2022-05-06 15:18:46+00:00,baramiee,@pravatranger kAGAK NANGIS SOALNYA EMANG JELEK 😭😭😭
161,2022-05-06 15:18:42+00:00,sansfav153cm,"@AREAJULID wkwkwk langsung ganti uname dia. mau istri ratuin mertua tp sendirinya babuin istri, tolol bgt jelek wkwk"
162,2022-05-06 15:18:34+00:00,duar_kaget,mima jelek banget lo cih https://t.co/TBehOWKZ9Y
163,2022-05-06 15:18:32+00:00,60misscall,@simpforgie Fi lo jelek.
164,2022-05-06 15:18:30+00:00,yepiwoo,JELEK BGT ISI TL 😔
165,2022-05-06 15:18:25+00:00,turquoisce,kuku-ku jelek lgi wkwk
166,2022-05-06 15:18:21+00:00,zhgven,Adalah aku ngomel dick pic lelaki jelek jelek. https://t.co/dxNkFoCdUh
167,2022-05-06 15:18:21+00:00,Macklevier,"Mau dong joki tugas tulisan tangan, tapi tulisan tangan nya gausa bagus² soalnya tulisan aku jelek, biar guru percaya #zonauangᅠᅠᅠ"
168,2022-05-06 15:18:20+00:00,pikirankacauku,"4. Saya pribadi masih tergolong miskin. Tidak menggunakan utang. Bukan berarti utang jelek, tapi memang utk skrng saya belum perlu menggunakan utang."
169,2022-05-06 15:18:19+00:00,rjslamp,"Jelek banget ga user friendly kesel, biasanya estetik padahal"
170,2022-05-06 15:18:18+00:00,aminlovsahi,"@treasuremembers ASAHI JELEK WLEEEEEEE

SOLAMIFASOL BANG YEDAM DAY
#예담아_생일_축하한다라리
#ダミボイスはトゥメの宝石
#YedamTheBrightestStar 
@treasuremembers"
171,2022-05-06 15:18:16+00:00,skattingice,@convomf keburu jelek anjr
172,2022-05-06 15:18:12+00:00,yadmi,@tinybinta JELEK LUUU.
173,2022-05-06 15:18:11+00:00,aldrich654,"@adelladellaide anak terakhir jadi tempat naruh ekspektasi paling tinggi para ortu. Kalo kaka nya jelek ga boleh diikutin, harus achieve ini itu, over protective dari ortu, disuruh-suruh kaka nya, capek lah pokoknya"
174,2022-05-06 15:18:10+00:00,bukanwatermelon,282. moodnya jelek https://t.co/yLfsjOL8Y0
175,2022-05-06 15:18:06+00:00,bluebuq_,"Nangis...sinyal jelek pas pengumuman best actress drama pdhl itu yg ditunggu, sampe naik2 bangku😭 jd cm bisa record akhirannya. Tapii seneng, terharu, dan bangga Taeri bawa pulang 2 piala. She deserves it❤️

#KimTaeri 
#KimTaeRiBAA2022 
#BaeksangArtsAwards2022 https://t.co/QUzdTTIrq8"
176,2022-05-06 15:17:57+00:00,mklvchn,kak ai tuh kapan ya bikin au jelek alias semua au nya seru semua gue gapernah bosen bacanya
177,2022-05-06 15:17:48+00:00,mtchapieee,"Gue belum nonton karna masih dijalan, sumpah ini bakal sampe rumah kalo ga tengah malem ya subuh. 
Mana sinyal jelek bgt 😭😭😭

#MVAlwaysYou"
178,2022-05-06 15:17:43+00:00,jiandacantik,"@cruxcygnus Ga bagusan ini, gelap gelap jelek"
179,2022-05-06 15:17:42+00:00,nanannaee,"sumpah kkn yaa so so sih ya ga bagus ga jelek, tp sound &amp; music nya 10/10 gede banget berasa nyata gue nonton sampe deg2an parah!"
180,2022-05-06 15:17:36+00:00,rismau_,"Bahkan orang terdekatku itu bilang ke anakku, ibuk besar ya kaya gajah😭 di depan handai taulan.. di waktu yg berbeda, anakku yg polos dan baik hatinya itu mengulang ucapan itu kepadaku ""ibu besar kaya gajah"" sambil senyum. I know dia ga maksud jelek. anakku umur 3"
181,2022-05-06 15:17:29+00:00,polaroidshoon,yang ngatain songun dancenya jelek buta mata lo hah
